1.30, 1.20, 2.16, 1
1.88, 3.03, 2.55, 1
5.87, 3.16, 3.82, 1
11.52, 5.19, 3.00, 1
5.09, 1.14, 6.46, 1
3.41, 2.57, 3.19, 1
5.34, 2.92, 3.24, 1
22.96, 3.92, 11.14, 1
10.14, 4.30, 5.48, 1
3.40, 2.62, 2.83, 1
7.28, 2.94, 3.86, 1
6.06, 2.29, 5.74, 1
4.22, 2.16, 2.20, 1
43.76, 12.70, 24.10, 1
6.37, 5.44, 9.75, 1
9.39, 2.85, 10.32, 1
2.53, 2.87, 7.48, 1
10.15, 2.45, 4.28, 1
42.37, 8.71, 19.62, 1
6.88, 5.69, 6.72, 1
4.88, 3.20, 2.96, 1
6.97, 3.95, 7.49, 1
7.95, 5.21, 6.54, 1
14.31, 5.60, 6.11, 1
4.89, 2.71, 9.00, 1
3.51, 2.13, 10.35, 1
10.06, 2.91, 10.74, 1
9.44, 1.92, 4.26, 1
2.77, 2.44, 14.83, 1
4.70, 3.71, 3.96, 1
9.29, 4.55, 16.33, 1
3.08, 1.81, 3.34, 1
15.74, 2.76, 14.17, 1
15.03, 12.36, 33.45, 1
9.55, 6.26, 9.16, 1
2.46, 2.40, 16.14, 1
4.54, 3.37, 5.65, 1
14.50, 6.21, 14.54, 1
12.59, 4.58, 12.52, 1
2.62, 1.99, 3.57, 1
21.98, 2.61, 3.77, 1
4.58, 4.21, 8.91, 1
7.68, 2.72, 3.83, 1
2.44, 1.28, 3.89, 1
4.09, 2.49, 6.28, 1
1.48, 2.76, 4.81, 1
13.55, 3.20, 5.24, 1
3.39, 3.94, 6.46, 1
2.33, 2.17, 3.68, 1
13.92, 7.76, 29.40, 1
11.67, 7.52, 8.85, 1
9.98, 4.11, 9.34, 1
8.29, 2.31, 9.73, 1
1.32, 3.35, 9.90, 1
2.69, 3.27, 6.26, 1
14.65, 5.66, 9.11, 1
1.88, 1.67, 3.55, 1
5.12, 4.82, 10.67, 1
6.74, 4.27, 10.03, 1
6.03, 5.07, 7.09, 1
12.67, 1.90, 6.52, 1
6.23, 1.48, 3.88, 1
1.90, 4.89, 8.36, 1
13.10, 4.18, 8.18, 1
4.11, 3.41, 5.28, 1
3.45, 2.71, 2.91, 1
15.79, 11.71, 29.66, 1
9.51, 5.69, 12.22, 1
18.84, 2.14, 9.72, 1
14.63, 2.85, 7.79, 1
4.06, 2.25, 15.54, 1
22.00, 4.78, 11.22, 1
4.83, 2.57, 14.85, 1
4.92, 2.89, 3.92, 1
27.42, 8.92, 53.55, 1
15.17, 13.50, 30.91, 1
12.64, 3.28, 14.57, 1
14.76, 4.16, 11.09, 1
7.03, 3.13, 12.04, 1
6.21, 4.36, 7.10, 1
16.76, 7.45, 7.24, 1
3.58, 3.50, 5.99, 1
2.40, 2.60, 11.86, 1
14.61, 10.58, 28.73, 1
13.86, 5.66, 7.19, 1
11.90, 3.39, 10.67, 1
9.39, 3.38, 9.60, 1
16.79, 4.46, 13.77, 1
20.81, 4.78, 10.70, 1
4.09, 2.29, 12.75, 1
5.80, 3.61, 10.60, 1
36.17, 6.47, 26.02, 1
9.13, 5.20, 14.77, 1
10.02, 3.54, 14.76, 1
20.90, 2.99, 18.35, 1
15.45, 2.51, 18.66, 1
